sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-0,A1,1.0,3.5280168056488037,0.00018779999999999998,0.0,0
multihop-1,A1,1.0,1.5202610492706299,0.00018618,0.0,0
multihop-2,A1,1.0,5.842983961105347,0.00018306,0.0,0
multihop-3,A1,0.0,2.833477020263672,0.00017369999999999997,0.0,0
multihop-4,A1,1.0,2.49426007270813,0.00019853999999999998,0.0,0
multihop-5,A1,1.0,1.2899940013885498,0.00021264,0.0,0
multihop-6,A1,0.0,17.94548988342285,0.000174,0.0,0
multihop-7,A1,0.0,3.143186092376709,0.00021924,0.0,0
multihop-8,A1,1.0,1.4360430240631104,0.00017436,0.0,0
multihop-9,A1,1.0,1.7058589458465576,0.00015125999999999998,0.0,0
multihop-10,A1,0.0,4.205030918121338,0.0001764,0.0,0
multihop-11,A1,1.0,4.29436993598938,0.00022817999999999997,0.0,0
multihop-12,A1,0.0,2.874767780303955,0.00020832,0.0,0
multihop-13,A1,0.0,2.8727529048919678,0.00016973999999999998,0.0,0
multihop-14,A1,0.0,1.7687711715698242,0.0001929,0.0,0
multihop-15,A1,0.0,10.400365591049194,0.00020166,0.0,0
multihop-16,A1,0.0,10.537383079528809,0.00017412,0.0,0
multihop-17,A1,1.0,19.164783716201782,0.00017208,0.0,0
multihop-18,A1,0.0,5.582259893417358,0.00018018,0.0,0
multihop-19,A1,1.0,2.204780101776123,0.0001776,0.0,0
multihop-20,A1,0.0,1.7428290843963623,0.00013584,0.0,0
multihop-21,A1,1.0,19.128679990768433,0.00016968,0.0,0
multihop-22,A1,0.0,2.5028862953186035,0.00020153999999999997,0.0,0
multihop-23,A1,1.0,20.143797159194946,0.00017345999999999998,0.0,0
multihop-24,A1,0.0,18.560136318206787,0.00019073999999999998,0.0,0
multihop-25,A1,1.0,1.8712091445922852,0.00013901999999999998,0.0,0
multihop-26,A1,1.0,10.681051015853882,0.00020046000000000002,0.0,0
multihop-27,A1,0.0,9.006627082824707,0.00017261999999999998,0.0,0
multihop-28,A1,1.0,4.185889959335327,0.00016235999999999998,0.0,0
multihop-29,A1,1.0,8.64500904083252,0.00022548,0.0,0
multihop-30,A1,1.0,3.1197779178619385,0.00017261999999999998,0.0,0
multihop-31,A1,0.0,2.0007691383361816,0.00014772,0.0,0
multihop-32,A1,1.0,1.3203880786895752,0.00020682,0.0,0
multihop-33,A1,1.0,0.7526760101318359,0.00020261999999999998,0.0,0
multihop-34,A1,1.0,11.864924192428589,0.00015821999999999999,0.0,0
multihop-35,A1,1.0,1.5095319747924805,0.00021245999999999998,0.0,0
multihop-36,A1,0.0,2.1501171588897705,0.0002094,0.0,0
