config,model,tier,pipeline,n,accuracy,recall,gen_cost,tree_cost,total_cost,cost_per_query,avg_latency
A1,Llama-3.1-8B,Cheap,RAG Only,1701,0.5990593768371546,0.44840569972845107,0.3227210399999998,0,0.3227210399999998,0.0001897243033509699,4.884359115575917
A2,Claude 3 Haiku,Cheap,RAG Only,1701,0.5943562610229277,0.43975532599871225,2.802645909999998,0,2.802645909999998,0.0016476460376249253,2.3111368551596274
A4,Claude Sonnet 4.6,Mid,RAG Only,1701,0.6525573192239859,0.49993001315752633,10.206,0,10.206,0.006,5.534038734884559
A3,GPT-5.4,Expensive,RAG Only,1701,0.783068783068783,0.6179978164105149,14.389927500000002,0,14.389927500000002,0.008459686948853616,1.9300078231401123
B1,Llama-3.1-8B,Cheap,RAG + Tree,1701,0.6390358612580834,0.49759245261890767,0.34248941999999977,0.8505,1.1929894199999997,0.0007013459259259258,16.389793904229936
C1,Llama-3.1-8B,Cheap,Tree Only,1701,0.3862433862433862,0.2401738473167045,0.0350223,0.8505,0.8855223,0.0005205892416225749,1.4641784951660228
E1,Llama-3.1-8B,Cheap,RAG + Fake Tree,1701,0.6272780717225162,0.4816494499034182,0.35009513999999975,0,0.35009513999999975,0.00020581724867724854,2.8120308953968656
